DRY RUN Threads final schedule | 2026-08-20 to 2026-08-26
2026-08-20T07:00:00+09:00 | ENG-000006 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000006-question.png | pending | past_due_hold
2026-08-20T09:30:00+09:00 | ENG-000007 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000007-question.png | pending | past_due_hold
2026-08-20T12:00:00+09:00 | ENG-000008 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000008-question.png | pending | past_due_hold
2026-08-20T15:00:00+09:00 | ENG-000009 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000009-question.png | pending | scheduled
2026-08-20T18:00:00+09:00 | ENG-000010 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000010-question.png | pending | scheduled
2026-08-20T20:30:00+09:00 | ENG-000011 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000011-question.png | pending | scheduled
2026-08-20T22:30:00+09:00 | ENG-100002 | normal | parent=yes | reply=no | asset=none | pending | scheduled
2026-08-21T07:00:00+09:00 | ENG-000012 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000012-question.png | pending | scheduled
2026-08-21T09:30:00+09:00 | ENG-000013 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000013-question.png | pending | scheduled
2026-08-21T12:00:00+09:00 | ENG-000014 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000014-question.png | pending | scheduled
2026-08-21T15:00:00+09:00 | ENG-000015 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000015-question.png | pending | scheduled
2026-08-21T18:00:00+09:00 | ENG-000016 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000016-question.png | pending | scheduled
2026-08-21T20:30:00+09:00 | ENG-000017 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000017-question.png | pending | scheduled
2026-08-21T22:30:00+09:00 | ENG-100003 | normal | parent=yes | reply=no | asset=none | pending | scheduled
2026-08-22T07:00:00+09:00 | ENG-000018 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000018-question.png | pending | scheduled
2026-08-22T09:30:00+09:00 | ENG-000019 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000019-question.png | pending | scheduled
2026-08-22T12:00:00+09:00 | ENG-000020 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000020-question.png | pending | scheduled
2026-08-22T15:00:00+09:00 | ENG-000021 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000021-question.png | pending | scheduled
2026-08-22T18:00:00+09:00 | ENG-000022 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000022-question.png | pending | scheduled
2026-08-22T20:30:00+09:00 | ENG-000023 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000023-question.png | pending | scheduled
2026-08-22T22:30:00+09:00 | ENG-100004 | normal | parent=yes | reply=no | asset=none | pending | scheduled
2026-08-23T07:00:00+09:00 | ENG-000024 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000024-question.png | pending | scheduled
2026-08-23T09:30:00+09:00 | ENG-000025 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000025-question.png | pending | scheduled
2026-08-23T12:00:00+09:00 | ENG-000026 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000026-question.png | pending | scheduled
2026-08-23T15:00:00+09:00 | ENG-000027 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000027-question.png | pending | scheduled
2026-08-23T18:00:00+09:00 | ENG-000028 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000028-question.png | pending | scheduled
2026-08-23T20:30:00+09:00 | ENG-000029 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000029-question.png | pending | scheduled
2026-08-23T22:30:00+09:00 | ENG-100005 | normal | parent=yes | reply=no | asset=none | pending | scheduled
